Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
100.00      0.01     0.01      204     0.05     0.05  in_control
  0.00      0.01     0.00      537     0.00     0.00  m_get
  0.00      0.01     0.00      533     0.00     0.00  m_copyback
  0.00      0.01     0.00      421     0.00     0.00  rn_search
  0.00      0.01     0.00      375     0.00     0.00  m_freem
  0.00      0.01     0.00      365     0.00     0.00  m_gethdr
  0.00      0.01     0.00      284     0.00     0.00  rt_setgate
  0.00      0.01     0.00      211     0.00     0.00  rn_insert
  0.00      0.01     0.00      211     0.00     0.00  rtrequest
  0.00      0.01     0.00      210     0.00     0.00  ether_output
  0.00      0.01     0.00      208     0.00     0.00  rn_addroute
  0.00      0.01     0.00      203     0.00     0.00  arprequest
  0.00      0.01     0.00      203     0.00     0.00  rt_maskedcopy
  0.00      0.01     0.00      203     0.00     0.00  rtinit
  0.00      0.01     0.00      202     0.00     0.00  ifa_ifwithaddr
  0.00      0.01     0.00      202     0.00     0.00  ifa_ifwithroute
  0.00      0.01     0.00      202     0.00     0.00  in_ifscrub
  0.00      0.01     0.00      202     0.00     0.00  in_scrubprefix
  0.00      0.01     0.00      201     0.00     0.00  in_addmulti
  0.00      0.01     0.00      201     0.00     0.00  in_ifinit
  0.00      0.01     0.00      201     0.00     0.00  in_socktrim
  0.00      0.01     0.00      200     0.00     0.00  vlan_ioctl
  0.00      0.01     0.00      199     0.00     0.00  arp_ifinit
  0.00      0.01     0.00      163     0.00     0.00  raw_input
  0.00      0.01     0.00      162     0.00     0.00  rt_msg1
  0.00      0.01     0.00      128     0.00     0.00  rn_refines
  0.00      0.01     0.00       86     0.00     0.00  arp_rtrequest
  0.00      0.01     0.00       85     0.00     0.00  rn_newpair
  0.00      0.01     0.00       82     0.00     0.00  if_rtdel
  0.00      0.01     0.00       76     0.00     0.00  rt_newaddrmsg
  0.00      0.01     0.00       12     0.00     0.00  rn_match
  0.00      0.01     0.00       12     0.00     0.00  rtalloc1
  0.00      0.01     0.00       11     0.00     0.00  m_devget
  0.00      0.01     0.00       10     0.00     0.00  bpf_filter
  0.00      0.01     0.00       10     0.00     0.00  bpf_tap
  0.00      0.01     0.00       10     0.00     0.00  catchpacket
  0.00      0.01     0.00        9     0.00     0.00  ether_input
  0.00      0.01     0.00        9     0.00     0.00  fake_arp_msg_r
  0.00      0.01     0.00        9     0.00     0.00  leread
  0.00      0.01     0.00        8     0.00     0.00  insque
  0.00      0.01     0.00        7     0.00     0.00  ifunit
  0.00      0.01     0.00        7     0.00     0.00  rt_ifannouncemsg
  0.00      0.01     0.00        6     0.00     0.00  if_attach
  0.00      0.01     0.00        6     0.00     0.00  sprint_d
  0.00      0.01     0.00        5     0.00     0.00  bpfattach
  0.00      0.01     0.00        5     0.00     0.00  copyin
  0.00      0.01     0.00        4     0.00     0.00  arplookup
  0.00      0.01     0.00        4     0.00     0.00  arpwhohas
  0.00      0.01     0.00        4     0.00     0.00  ether_ifattach
  0.00      0.01     0.00        4     0.00     0.00  ether_multiaddr
  0.00      0.01     0.00        4     0.00     0.00  ip_output
  0.00      0.01     0.00        4     0.00     0.00  leioctl
  0.00      0.01     0.00        4     0.00     0.00  lestart
  0.00      0.01     0.00        4     0.00     0.00  rtalloc
  0.00      0.01     0.00        4     0.00     0.00  rtfree
  0.00      0.01     0.00        4     0.00     0.00  sbreserve
  0.00      0.01     0.00        3     0.00     0.00  arpintr
  0.00      0.01     0.00        3     0.00     0.00  ether_addmulti
  0.00      0.01     0.00        3     0.00     0.00  getsock
  0.00      0.01     0.00        3     0.00     0.00  handle_inter_proc
  0.00      0.01     0.00        3     0.00     0.00  in_arpinput
  0.00      0.01     0.00        3     0.00     0.00  input_eth
  0.00      0.01     0.00        3     0.00     0.00  ipintr
  0.00      0.01     0.00        3     0.00     0.00  leput
  0.00      0.01     0.00        3     0.00     0.00  leput_test
  0.00      0.01     0.00        3     0.00     0.00  rn_addmask
  0.00      0.01     0.00        3     0.00     0.00  rn_delete
  0.00      0.01     0.00        3     0.00     0.00  sbappendaddr
  0.00      0.01     0.00        3     0.00     0.00  udp_usrreq
  0.00      0.01     0.00        3     0.00     0.00  uiomove
  0.00      0.01     0.00        2     0.00     0.00  arpresolve
  0.00      0.01     0.00        2     0.00     0.00  bpf_alloc
  0.00      0.01     0.00        2     0.00     0.00  ether_sprintf
  0.00      0.01     0.00        2     0.00     0.00  falloc
  0.00      0.01     0.00        2     0.00     0.00  fdalloc
  0.00      0.01     0.00        2     0.00     0.00  ifafree
  0.00      0.01     0.00        2     0.00     0.00  igmp_joingroup
  0.00      0.01     0.00        2     0.00     0.00  igmp_sendreport
  0.00      0.01     0.00        2     0.00     0.00  in_broadcast
  0.00      0.01     0.00        2     0.00     0.00  in_pcbbind
  0.00      0.01     0.00        2     0.00     0.00  in_pcblookup
  0.00      0.01     0.00        2     0.00     0.00  leattach
  0.00      0.01     0.00        2     0.00     0.00  leinit
  0.00      0.01     0.00        2     0.00     0.00  lereset
  0.00      0.01     0.00        2     0.00     0.00  m_free
  0.00      0.01     0.00        2     0.00     0.00  output_ethernet
  0.00      0.01     0.00        2     0.00     0.00  pffindtype
  0.00      0.01     0.00        2     0.00     0.00  raw_usrreq
  0.00      0.01     0.00        2     0.00     0.00  rn_inithead
  0.00      0.01     0.00        2     0.00     0.00  route_usrreq
  0.00      0.01     0.00        2     0.00     0.00  rt_ifmsg
  0.00      0.01     0.00        2     0.00     0.00  sendit
  0.00      0.01     0.00        2     0.00     0.00  sendto
  0.00      0.01     0.00        2     0.00     0.00  sockargs
  0.00      0.01     0.00        2     0.00     0.00  socket
  0.00      0.01     0.00        2     0.00     0.00  socreate
  0.00      0.01     0.00        2     0.00     0.00  soreserve
  0.00      0.01     0.00        2     0.00     0.00  sosend
  0.00      0.01     0.00        1     0.00     0.00  add_route_r
  0.00      0.01     0.00        1     0.00     0.00  bind
  0.00      0.01     0.00        1     0.00     0.00  bpf_allocbufs
  0.00      0.01     0.00        1     0.00     0.00  bpf_attachd
  0.00      0.01     0.00        1     0.00     0.00  bpf_setif
  0.00      0.01     0.00        1     0.00     0.00  bpfioctl
  0.00      0.01     0.00        1     0.00     0.00  bpfopen
  0.00      0.01     0.00        1     0.00     0.00  bpfread
  0.00      0.01     0.00        1     0.00     0.00  bpfwrite
  0.00      0.01     0.00        1     0.00     0.00  cfg_bpf
  0.00      0.01     0.00        1     0.00     0.15  cfg_eth1_ip
  0.00      0.01     0.00        1     0.00     0.00  create_ethernet_interface
  0.00      0.01     0.00        1     0.00     0.15  create_ip_addr_r
  0.00      0.01     0.00        1     0.00     9.75  create_vlan_ip(long double)
  0.00      0.01     0.00        1     0.00     0.00  create_vlan_r
  0.00      0.01     0.00        1     0.00     0.10  delete_ethernet_interface_r
  0.00      0.01     0.00        1     0.00     0.00  domaininit
  0.00      0.01     0.00        1     0.00     0.00  fake_route_record
  0.00      0.01     0.00        1     0.00     0.00  fake_rt_socketMsg
  0.00      0.01     0.00        1     0.00     0.10  if_detach
  0.00      0.01     0.00        1     0.00     0.00  if_down
  0.00      0.01     0.00        1     0.00     0.00  if_qflush
  0.00      0.01     0.00        1     0.00     0.00  if_slowtimo
  0.00      0.01     0.00        1     0.00     0.00  if_up
  0.00      0.01     0.00        1     0.00     0.00  ifa_ifwithdstaddr
  0.00      0.01     0.00        1     0.00     0.00  ifa_ifwithnet
  0.00      0.01     0.00        1     0.00     0.00  ifinit
  0.00      0.01     0.00        1     0.00     0.00  in_pcballoc
  0.00      0.01     0.00        1     0.00     0.00  in_pcbconnect
  0.00      0.01     0.00        1     0.00     0.00  in_pcbdisconnect
  0.00      0.01     0.00        1     0.00     0.00  ip_init
  0.00      0.01     0.00        1     0.00     0.00  loopattach
  0.00      0.01     0.00        1     0.00     0.00  m_copydata
  0.00      0.01     0.00        1     0.00     0.00  main_le
  0.00      0.01     0.00        1     0.00     0.00  output_ip
  0.00      0.01     0.00        1     0.00     0.00  pffindproto
  0.00      0.01     0.00        1     0.00     0.00  raw_attach
  0.00      0.01     0.00        1     0.00     0.00  raw_init
  0.00      0.01     0.00        1     0.00     0.00  reset_d
  0.00      0.01     0.00        1     0.00     0.00  rip_init
  0.00      0.01     0.00        1     0.00     0.00  rn_init
